Event	ID	Name			Wwise Object Path	Notes
	17683061	Forward_Whoosh			\Default Work Unit\Forward_Whoosh	
	280570306	Round_Start			\Default Work Unit\Round_Start	
	321053796	Upper_kick			\Default Work Unit\Upper_kick	
	587916051	Upper_kick_handpat			\Default Work Unit\Upper_kick_handpat	
	622371194	Low_Kick			\Default Work Unit\Low_Kick	
	780552104	Jab			\Default Work Unit\Jab	
	1593604493	Forward_init			\Default Work Unit\Forward_init	
	1711038907	Mid_Hit			\Default Work Unit\Mid_Hit	
	2030840469	Kill			\Default Work Unit\Kill	
	3368579805	Perfect_Parry_10			\Default Work Unit\Perfect_Parry_10	
	3992044314	Back_Kick_whoosh			\Default Work Unit\Back_Kick_whoosh	
	4001580976	Block			\Default Work Unit\Block	
	4195553302	Back_Kick_init			\Default Work Unit\Back_Kick_init	
	4268837494	Parry_11			\Default Work Unit\Parry_11	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3067181449	GuardBreak			\Default Work Unit\GuardBreak	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2191044	Back_Kick_init_11	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Back_Kick_init_11_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Attacks\Back_Kick_init_11		104476
	24403429	Mid_Hit_7	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Mid_Hit_7_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mid_Hit\Mid_Hit_7		54980
	33309053	Jab_5	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Jab_5_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Attacks\Jab\Jab_5		18148
	75057509	Perfect_Parry_10	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Perfect_Parry_10_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Perfect_Parry_10		403592
	99714247	whoosh_8	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\whoosh_8_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Attacks\Forward Whoosh\whoosh_8		218232
	101130129	Block_5	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Block_5_F55B20ED.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block\Block_5		68220
	151180453	whoosh_10	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\whoosh_10_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Attacks\Forward Whoosh\whoosh_10		301236
	163354976	Block_4	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Block_4_A80B1FC8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block\Block_4		68228
	213678330	Block_3	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Block_3_24F801C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Block\Block_3		6356
	235837559	Upper_kick_handpat_14	C:\Users\Boby\Documents\WwiseProjects\Montaine The Game\.cache\Windows\SFX\Upper_kick_handpat_14_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Attacks\Upper_kick_handpat_14		48552
